heuristic,d,g,#E,#F
h,12.2,31.8,300.8,31.4
h_chebyshev,12.2,31.8,314.8,28.6
h_euclidean,12.2,31.8,304.8,31.6
h_minhardness,12.2,31.8,314.8,28.6
h_combined,12.2,31.8,268.4,41.2
