heuristic,d,g,#E,#F
h,10.4,24.8,133.4,17.0
h_chebyshev,10.4,24.8,142.0,17.0
h_euclidean,10.4,24.8,136.8,17.2
h_minhardness,10.4,24.8,142.0,17.0
h_combined,10.4,24.8,119.4,23.2
