heuristic,d,g,#E,#F
h,18.4,39.6,471.2,54.0
h_chebyshev,18.4,39.6,503.4,47.8
h_euclidean,18.4,39.6,487.4,50.8
h_minhardness,18.4,39.6,503.4,47.8
h_combined,19.8,39.6,447.8,56.6
