heuristic,d,g,#E,#F
h,6.4,14.2,40.6,9.0
h_chebyshev,6.4,14.2,42.4,8.4
h_euclidean,6.4,14.2,40.6,9.0
h_minhardness,6.4,14.2,42.4,8.4
h_combined,6.4,14.2,32.2,10.0
