map,algorithm,heuristic,d,g,#E,#F
maps/N5x5/map1.txt,bfs,N/A,10,32,144,31
maps/N5x5/map1.txt,dfs,N/A,52,207,52,56
maps/N5x5/map1.txt,astar,h,13,29,157,18
maps/N5x5/map1.txt,astar,h_chebyshev,13,29,161,16
maps/N5x5/map1.txt,astar,h_euclidean,13,29,157,18
maps/N5x5/map1.txt,astar,h_minhardness,13,29,161,16
maps/N5x5/map1.txt,astar,h_combined,13,29,129,29
maps/N5x5/map2.txt,bfs,N/A,8,19,62,41
maps/N5x5/map2.txt,dfs,N/A,12,59,12,16
maps/N5x5/map2.txt,astar,h,8,19,91,28
maps/N5x5/map2.txt,astar,h_chebyshev,8,19,102,30
maps/N5x5/map2.txt,astar,h_euclidean,8,19,96,30
maps/N5x5/map2.txt,astar,h_minhardness,8,19,102,30
maps/N5x5/map2.txt,astar,h_combined,8,19,80,32
maps/N5x5/map3.txt,bfs,N/A,10,30,144,31
maps/N5x5/map3.txt,dfs,N/A,52,184,52,56
maps/N5x5/map3.txt,astar,h,10,30,191,5
maps/N5x5/map3.txt,astar,h_chebyshev,10,30,191,5
maps/N5x5/map3.txt,astar,h_euclidean,10,30,191,5
maps/N5x5/map3.txt,astar,h_minhardness,10,30,191,5
maps/N5x5/map3.txt,astar,h_combined,10,30,176,12
maps/N5x5/map4.txt,bfs,N/A,8,16,62,40
maps/N5x5/map4.txt,dfs,N/A,50,177,50,56
maps/N5x5/map4.txt,astar,h,8,16,44,26
maps/N5x5/map4.txt,astar,h_chebyshev,8,16,70,28
maps/N5x5/map4.txt,astar,h_euclidean,8,16,56,25
maps/N5x5/map4.txt,astar,h_minhardness,8,16,70,28
maps/N5x5/map4.txt,astar,h_combined,8,16,45,27
maps/N5x5/map5.txt,bfs,N/A,7,37,33,28
maps/N5x5/map5.txt,dfs,N/A,13,55,13,16
maps/N5x5/map5.txt,astar,h,13,30,184,8
maps/N5x5/map5.txt,astar,h_chebyshev,13,30,186,6
maps/N5x5/map5.txt,astar,h_euclidean,13,30,184,8
maps/N5x5/map5.txt,astar,h_minhardness,13,30,186,6
maps/N5x5/map5.txt,astar,h_combined,13,30,167,16
