map,algorithm,heuristic,d,g,#E,#F
maps/N7x7/map1.txt,bfs,N/A,10,44,166,72
maps/N7x7/map1.txt,dfs,N/A,66,272,66,88
maps/N7x7/map1.txt,astar,h,14,39,368,12
maps/N7x7/map1.txt,astar,h_chebyshev,14,39,373,9
maps/N7x7/map1.txt,astar,h_euclidean,14,39,368,12
maps/N7x7/map1.txt,astar,h_minhardness,14,39,373,9
maps/N7x7/map1.txt,astar,h_combined,14,39,350,20
maps/N7x7/map2.txt,bfs,N/A,9,29,106,59
maps/N7x7/map2.txt,dfs,N/A,17,70,17,24
maps/N7x7/map2.txt,astar,h,9,29,177,50
maps/N7x7/map2.txt,astar,h_chebyshev,9,29,213,48
maps/N7x7/map2.txt,astar,h_euclidean,9,29,192,52
maps/N7x7/map2.txt,astar,h_minhardness,9,29,213,48
maps/N7x7/map2.txt,astar,h_combined,9,29,170,52
maps/N7x7/map3.txt,bfs,N/A,11,30,240,66
maps/N7x7/map3.txt,dfs,N/A,17,80,17,25
maps/N7x7/map3.txt,astar,h,11,30,292,42
maps/N7x7/map3.txt,astar,h_chebyshev,11,30,305,39
maps/N7x7/map3.txt,astar,h_euclidean,11,30,294,42
maps/N7x7/map3.txt,astar,h_minhardness,11,30,305,39
maps/N7x7/map3.txt,astar,h_combined,11,30,253,47
maps/N7x7/map4.txt,bfs,N/A,11,29,239,66
maps/N7x7/map4.txt,dfs,N/A,67,225,67,88
maps/N7x7/map4.txt,astar,h,11,29,317,36
maps/N7x7/map4.txt,astar,h_chebyshev,11,29,327,32
maps/N7x7/map4.txt,astar,h_euclidean,11,29,319,34
maps/N7x7/map4.txt,astar,h_minhardness,11,29,327,32
maps/N7x7/map4.txt,astar,h_combined,11,29,267,47
maps/N7x7/map5.txt,bfs,N/A,12,35,307,49
maps/N7x7/map5.txt,dfs,N/A,18,77,18,25
maps/N7x7/map5.txt,astar,h,16,32,350,17
maps/N7x7/map5.txt,astar,h_chebyshev,16,32,356,15
maps/N7x7/map5.txt,astar,h_euclidean,16,32,351,18
maps/N7x7/map5.txt,astar,h_minhardness,16,32,356,15
maps/N7x7/map5.txt,astar,h_combined,16,32,302,40
