map,algorithm,heuristic,d,g,#E,#F
maps/N9x9/map1.txt,bfs,N/A,13,52,439,92
maps/N9x9/map1.txt,dfs,N/A,83,334,83,120
maps/N9x9/map1.txt,astar,h,20,43,644,1
maps/N9x9/map1.txt,astar,h_chebyshev,20,43,644,1
maps/N9x9/map1.txt,astar,h_euclidean,20,43,644,1
maps/N9x9/map1.txt,astar,h_minhardness,20,43,644,1
maps/N9x9/map1.txt,astar,h_combined,20,43,635,5
maps/N9x9/map2.txt,bfs,N/A,14,39,533,67
maps/N9x9/map2.txt,dfs,N/A,22,70,22,33
maps/N9x9/map2.txt,astar,h,19,39,571,52
maps/N9x9/map2.txt,astar,h_chebyshev,19,39,594,35
maps/N9x9/map2.txt,astar,h_euclidean,19,39,578,46
maps/N9x9/map2.txt,astar,h_minhardness,19,39,594,35
maps/N9x9/map2.txt,astar,h_combined,26,39,492,66
maps/N9x9/map3.txt,bfs,N/A,11,44,242,91
maps/N9x9/map3.txt,dfs,N/A,20,79,20,32
maps/N9x9/map3.txt,astar,h,16,39,368,90
maps/N9x9/map3.txt,astar,h_chebyshev,16,39,415,81
maps/N9x9/map3.txt,astar,h_euclidean,16,39,390,83
maps/N9x9/map3.txt,astar,h_minhardness,16,39,415,81
maps/N9x9/map3.txt,astar,h_combined,16,39,354,88
maps/N9x9/map4.txt,bfs,N/A,12,57,334,105
maps/N9x9/map4.txt,dfs,N/A,20,87,20,32
maps/N9x9/map4.txt,astar,h,23,43,465,56
maps/N9x9/map4.txt,astar,h_chebyshev,23,43,498,54
maps/N9x9/map4.txt,astar,h_euclidean,23,43,481,52
maps/N9x9/map4.txt,astar,h_minhardness,23,43,498,54
maps/N9x9/map4.txt,astar,h_combined,23,43,454,54
maps/N9x9/map5.txt,bfs,N/A,11,42,242,91
maps/N9x9/map5.txt,dfs,N/A,20,70,20,32
maps/N9x9/map5.txt,astar,h,14,34,308,71
maps/N9x9/map5.txt,astar,h_chebyshev,14,34,366,68
maps/N9x9/map5.txt,astar,h_euclidean,14,34,344,72
maps/N9x9/map5.txt,astar,h_minhardness,14,34,366,68
maps/N9x9/map5.txt,astar,h_combined,14,34,304,70
